Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D8.0mm_P3.50mm,2,100uF/50V,
"C3, C4",0805,2,100nF,
"C5, C6, C7, C8",0805,4,10nF,
J1,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry_Pi_4,
J2,BTS7960,1,BTS7960_Left,
J3,BTS7960,1,BTS7960_Right,
J4,JGB37_520,1,JGB37_520 Left,
J5,JGB37_520,1,JGB37_520 Right,
J6,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,
J8,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,Screw_Terminal_01x04_Left,
J9,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,Screw_Terminal_01x04_Right,
"R1, R2, R3, R4, R5",0805,5,R,
U1,ESP32-C3-DevKitM-1,1,ESP32-C3-DevKitM-1,
U2,GY521_MPU6050,1,GY521_MPU6050,
U3,MINI560,1,MINI560,
U4,ADS1115,1,ADS1115,
