Designator,Mid X,Mid Y,Rotation,Layer
C1,167.5427,-53.848,180.0,top
C2,158.524,-80.518,180.0,top
C3,115.824,-78.298,270.0,top
C4,129.675,-60.025,270.0,top
C5,149.1,-60.875,90.0,bottom
C6,151.65,-60.875,90.0,bottom
C7,154.175,-60.875,90.0,bottom
C8,158.05,-60.875,90.0,bottom
J1,132.5,-49.5,270.0,bottom
J2,130.27,-114.81,0.0,top
J3,154.73,-114.81,0.0,top
J4,111.35,-106.0,90.0,top
J5,173.65,-106.0,90.0,top
J6,177.9725,-53.853,90.0,top
J8,112.62,-115.0,0.0,top
J9,172.38,-115.0,0.0,top
R1,123.444,-93.3215,270.0,top
R2,126.9,-106.0215,270.0,top
R3,133.6,-106.0215,270.0,top
R4,151.384,-106.0215,270.0,top
R5,157.988,-106.0215,270.0,top
U1,128.524,-85.852,270.0,top
U2,117.348,-62.83,0.0,top
U3,173.1375,-76.5,0.0,top
U4,145.288,-56.48,0.0,top
